Nombre,Puntaje
 Alireza Firouzja,2770
 Fabiano Caruana,2800
 Grigoriy Oparin,2654
 Yu Yangyi,2704
 Vincent Keymer,2630
 Maxime Vachier-Lagrave,2763
 Alexandr Predke,2666
 Alexei Shirov,2659
 David Howell,2658
 Gabriel Sargissian,2664
 David Antón Guijarro,2658
 Anton Korobov,2690
 Samuel Sevian,2654
 Andrey Esipenko,2720
 Bogdan-Daniel Deac,2643
 Vladislav Artemiev,2699
 Manuel Petrosyan,2605
 Nihal Sarin,2652
 Daniil Dubov,2714
 Yuriy Kuzubov,2624
 Vladimir Fedoseev,2704
 Sanan Sjugirov,2663
 Nikita Vitiugov,2727
 Yuriy Kryvoruchko,2686
 Nils Grandelius,2662
 Levon Aronian,2782
 Jeffery Xiong,2700
 Alexey Sarana,2649
 Kirill Alekseenko,2710
 Pentala Harikrishna,2719
 Krishnan Sasikiran,2640
 Pavel Ponkratov,2659
 Evgeniy Najer,2654
 Kirill Shevchenko,2632
 Dariusz ?wiercz,2647
 Ivan Šari?,2644
 Samvel Ter-Sahakyan,2607
 Parham Maghsoodloo,2701
 Mustafa Y?lmaz,2626
 Pavel Eljanov,2691
 Andrei Volokitin,2652
 Jules Moussard,2632
 Cristobal Henriquez Villagra,2608
 Jorden van Foreest,2691
 Vadim Zvjaginsev,2609
 Mikhail Antipov,2619
 Ruslan Ponomariov,2631
 Robert Hovhannisyan,2622
 Aryan Tari,2646
 Amin Tabatabaei,2639
 Ante Brkic,2644
 Hans Niemann,2638
 David Navara,2691
 Nodirbek Yakubboev,2621
 Maksim Chigaev,2639
 Nodirbek Abdusattorov,2646
 Raunak Sadhwani,2609
 Arjun Erigaisi,2634
 Rados?aw Wojtaszek,2691
 Anton Demchenko,2651
 Matthias Bluebaum,2640
 Javokhir Sindarov,2587
 Zhou Jianchao,2629
 Jorge Cori,2655
 Temur Kuybokarov,2549
 Peter Svidler,2694
 Thai Dai Van Nguyen,2577
 Boris Gelfand,2680
 Aleksandr Rakhmanov,2657
 Aleksandar Indjic,2612
 Alexander Donchenko,2648
 Rameshbabu Praggnanandhaa,2618
 Dmitrij Kollars,2621
 Vladimir Onischuk,2622
 Gukesh D,2640
 Alan Pichot,2628
 Maxim Matlakov,2682
 Aleksandra Goryachkina,2602
 Ivan Cheparinov,2659
 Baadur Jobava,2582
 Vladislav Kovalev,2634
 Velimir Ivi?,2606
 S. P. Sethuraman,2620
 Mateusz Bartel,2597
 Haik M. Martirosyan,2624
 Vasif Durarbayli,2629
 Ahmed Adly,2602
 Surya Shekhar Ganguly,2617
 Shamsiddin Vokhidov,2521
 Baskaran Adhiban,2672
 Aleksey Dreev,2635
 Arturs Neikš?ns,2570
 Nijat Abasov,2638
 Martyn Kravtsiv,2625
 Sergei Movsesian,2627
 Rauf Mamedov,2673
 Aydin Suleymanli,2541
 Jonas Buhl Bjerre,2569
 Rinat Jumabayev,2658
 Hjorvar Steinn Gretarsson,2577
 Kiril Georgiev,2577
 David Paravyan,2642
 Nikita Meshkovs,2550
 Normunds Miezis,2467
 Luka Budisavljevi?,2508
 Lucas van Foreest,2543
 Ivan Morovic Fernandez,2510
 Fy Antenaina Rakotomaharo,2484
